I,j,delta,delta_0,dr,dx,p0,kappa,lambda,I_k,P_v,i_v,j_v,x_sn0,x_pist0
2451,32,1600,650,0.0025,0.0025,100000,1,0,1000000,5000000,0,0,0.9400001,0.07600001
I,j,type,r_1,r_2,x_1,x_2,,,,,,,,
0,0,18,1,1,1,1,,,,,,,,
0,1,18,1,1,1,1,,,,,,,,
0,2,18,1,1,1,1,,,,,,,,
0,3,18,1,1,1,1,,,,,,,,
0,4,18,1,1,1,1,,,,,,,,
0,5,18,1,1,1,1,,,,,,,,
0,6,18,1,1,1,1,,,,,,,,
0,7,18,1,1,1,1,,,,,,,,
0,8,18,1,1,1,1,,,,,,,,
0,9,18,1,1,1,1,,,,,,,,
0,10,18,1,1,1,1,,,,,,,,
0,11,18,1,1,1,1,,,,,,,,
0,12,18,1,1,1,1,,,,,,,,
0,13,18,1,1,1,1,,,,,,,,
0,14,18,1,1,1,1,,,,,,,,
0,15,18,1,1,1,1,,,,,,,,
0,16,18,1,1,1,1,,,,,,,,
0,17,18,1,1,1,1,,,,,,,,
0,18,18,1,1,1,1,,,,,,,,
0,19,18,1,1,1,1,,,,,,,,
0,20,18,1,1,1,1,,,,,,,,
0,21,18,1,1,1,1,,,,,,,,
0,22,18,1,1,1,1,,,,,,,,
0,23,18,1,1,1,1,,,,,,,,
0,24,18,1,1,1,1,,,,,,,,
0,25,18,1,1,1,1,,,,,,,,
0,26,18,1,1,1,1,,,,,,,,
0,27,18,1,1,1,1,,,,,,,,
0,28,18,1,1,1,1,,,,,,,,
0,29,18,1,1,1,1,,,,,,,,
0,30,18,1,1,1,1,,,,,,,,
0,31,18,1,1,1,1,,,,,,,,
1,0,18,1,1,1,1,,,,,,,,
1,1,18,1,1,1,1,,,,,,,,
1,2,16,1,1,1,1,,,,,,,,
1,3,17,1,1,1,1,,,,,,,,
1,4,17,1,1,1,1,,,,,,,,
1,5,17,1,1,1,1,,,,,,,,
1,6,17,1,1,1,1,,,,,,,,
1,7,17,1,1,1,1,,,,,,,,
1,8,17,1,1,1,1,,,,,,,,
1,9,17,1,1,1,1,,,,,,,,
1,10,17,1,1,1,1,,,,,,,,
1,11,17,1,1,1,1,,,,,,,,
1,12,17,1,1,1,1,,,,,,,,
1,13,17,1,1,1,1,,,,,,,,
1,14,17,1,1,1,1,,,,,,,,
1,15,17,1,1,1,1,,,,,,,,
1,16,17,1,1,1,1,,,,,,,,
1,17,17,1,1,1,1,,,,,,,,
1,18,17,1,1,1,1,,,,,,,,
1,19,17,1,1,1,1,,,,,,,,
1,20,17,1,1,1,1,,,,,,,,
1,21,17,1,1,1,1,,,,,,,,
1,22,17,1,1,1,1,,,,,,,,
1,23,17,1,1,1,1,,,,,,,,
1,24,17,1,1,1,1,,,,,,,,
1,25,17,1,1,1,1,,,,,,,,
1,26,17,1,1,1,1,,,,,,,,
1,27,17,1,1,1,1,,,,,,,,
1,28,17,1,1,1,1,,,,,,,,
1,29,15,1,1,1,1,,,,,,,,
1,30,18,1,1,1,1,,,,,,,,
1,31,18,1,1,1,1,,,,,,,,
2,0,18,1,1,1,1,,,,,,,,
2,1,18,1,1,1,1,,,,,,,,
2,2,14,1,1,1,1,,,,,,,,
2,3,0,1,1,1,1,,,,,,,,
2,4,0,1,1,1,1,,,,,,,,
2,5,0,1,1,1,1,,,,,,,,
2,6,0,1,1,1,1,,,,,,,,
2,7,0,1,1,1,1,,,,,,,,
2,8,0,1,1,1,1,,,,,,,,
2,9,0,1,1,1,1,,,,,,,,
2,10,0,1,1,1,1,,,,,,,,
2,11,0,1,1,1,1,,,,,,,,
2,12,0,1,1,1,1,,,,,,,,
2,13,0,1,1,1,1,,,,,,,,
2,14,0,1,1,1,1,,,,,,,,
2,15,0,1,1,1,1,,,,,,,,
2,16,0,1,1,1,1,,,,,,,,
2,17,0,1,1,1,1,,,,,,,,
2,18,0,1,1,1,1,,,,,,,,
2,19,0,1,1,1,1,,,,,,,,
2,20,0,1,1,1,1,,,,,,,,
2,21,0,1,1,1,1,,,,,,,,
2,22,0,1,1,1,1,,,,,,,,
2,23,0,1,1,1,1,,,,,,,,
2,24,0,1,1,1,1,,,,,,,,
2,25,0,1,1,1,1,,,,,,,,
2,26,0,1,1,1,1,,,,,,,,
2,27,0,1,1,1,1,,,,,,,,
2,28,0,1,1,1,1,,,,,,,,
2,29,13,1,1,1,1,,,,,,,,
2,30,18,1,1,1,1,,,,,,,,
2,31,18,1,1,1,1,,,,,,,,
3,0,18,1,1,1,1,,,,,,,,
3,1,18,1,1,1,1,,,,,,,,
3,2,14,1,1,1,1,,,,,,,,
3,3,0,1,1,1,1,,,,,,,,
3,4,0,1,1,1,1,,,,,,,,
3,5,0,1,1,1,1,,,,,,,,
3,6,0,1,1,1,1,,,,,,,,
3,7,0,1,1,1,1,,,,,,,,
3,8,0,1,1,1,1,,,,,,,,
3,9,0,1,1,1,1,,,,,,,,
3,10,0,1,1,1,1,,,,,,,,
3,11,0,1,1,1,1,,,,,,,,
3,12,0,1,1,1,1,,,,,,,,
3,13,0,1,1,1,1,,,,,,,,
3,14,0,1,1,1,1,,,,,,,,
3,15,0,1,1,1,1,,,,,,,,
3,16,0,1,1,1,1,,,,,,,,
3,17,0,1,1,1,1,,,,,,,,
3,18,0,1,1,1,1,,,,,,,,
3,19,0,1,1,1,1,,,,,,,,
3,20,0,1,1,1,1,,,,,,,,
